GEO_ID,NAME,B08301_001E,B08301_001M,B08301_002E,B08301_002M,B08301_003E,B08301_003M,B08301_004E,B08301_004M,B08301_005E,B08301_005M,B08301_006E,B08301_006M,B08301_007E,B08301_007M,B08301_008E,B08301_008M,B08301_009E,B08301_009M,B08301_010E,B08301_010M,B08301_011E,B08301_011M,B08301_012E,B08301_012M,B08301_013E,B08301_013M,B08301_014E,B08301_014M,B08301_015E,B08301_015M,B08301_016E,B08301_016M,B08301_017E,B08301_017M,B08301_018E,B08301_018M,B08301_019E,B08301_019M,B08301_020E,B08301_020M,B08301_021E,B08301_021M
06037310800,Census Tract 3108; Los Angeles County; California,3403,547,2640,597,2382,551,258,170,114,108,76,92,68,104,0,19,0,19,15,25,0,19,15,25,0,19,0,19,0,19,0,19,0,19,38,60,18,27,0,19,692,242
06037310900,Census Tract 3109; Los Angeles County; California,3455,546,2470,442,2068,445,402,184,217,139,53,53,117,91,15,23,0,19,48,49,30,37,0,19,18,32,0,19,0,19,0,19,0,19,14,25,62,72,33,36,828,321
06037311000,Census Tract 3110; Los Angeles County; California,1959,235,1371,225,1191,199,180,95,143,71,13,20,0,13,24,32,0,13,89,56,45,51,36,45,8,14,0,13,0,13,0,13,0,13,17,27,13,17,52,81,417,127
06037311100,Census Tract 3111; Los Angeles County; California,1992,437,1426,275,1286,257,140,68,125,63,15,18,0,13,0,13,0,13,7,13,7,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,30,47,10,18,519,344
06037311200,Census Tract 3112; Los Angeles County; California,1667,354,1040,186,981,181,59,44,48,40,11,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,46,43,41,38,540,328
06037311300,Census Tract 3113; Los Angeles County; California,2348,496,1879,484,1828,486,51,66,15,23,36,60,0,13,0,13,0,13,24,29,9,17,15,23,0,13,0,13,0,13,0,13,8,12,34,50,59,58,0,13,344,136
06037311400,Census Tract 3114; Los Angeles County; California,1282,169,906,144,822,141,84,50,56,45,10,11,3,7,15,17,0,13,16,19,0,13,16,19,0,13,0,13,0,13,0,13,5,8,0,13,24,18,12,13,319,103
06037311500,Census Tract 3115; Los Angeles County; California,3572,611,2206,405,1930,414,276,149,257,145,0,19,0,19,0,19,19,29,36,42,22,34,14,28,0,19,0,19,0,19,16,25,16,25,0,19,76,52,35,51,1187,545
06037311601,Census Tract 3116.01; Los Angeles County; California,1062,348,553,187,553,187,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,8,0,13,0,13,121,119,12,19,371,257
06037311602,Census Tract 3116.02; Los Angeles County; California,2188,420,1456,315,1362,296,94,71,56,59,17,25,0,13,21,33,0,13,43,45,43,45,0,13,0,13,0,13,0,13,0,13,28,46,0,13,112,114,38,60,511,220
